category,path,purpose,last_known_use,duplicates_or_related,dependencies,complete,recommended_future_use,already_on_github_main_before_rescue
A,claire_gui.py,Primary FastAPI app; serves public HTML/JS UI and ~47 backend routes including /reply and /veritas-legal/run,"Live now, claire-gui.service port 8000/8011",n/a,"ClaireRuntime, nemotron_adapter, original_are_bridge, faiss_are_index, veritas_legal, static/, and ~21 root modules listed below",yes,Keep as-is; this is the CLAIRE production entry point,yes
A,claire_runtime.py,"ClaireRuntime.handle_user_message() - the real governed pipeline (3CRP, Gyro, ARE recall, Recognition Rail, Q Insight, EchoShield, Sentinel, Truth Spine)",Live now; called from claire_gui.py:171/12816,n/a,"claire_runtime_truth, are_memory_store, authority_capsule, claire/runtime/gyro, claire/runtime/loopback, claire_core/adapters/echoshield+sentinel, faiss_are_index, lane_classifier, claire_runtime_router, memory_committer, memory_eligibility, nemotron_adapter, temporal_engine, trace_logger, original_are_bridge",yes,Keep as-is; this is the asset the whole preservation effort is protecting,yes
A,claire_runtime_truth.py,RuntimeTruthSpine - the live hash-chained/HMAC-signed Truth Spine,"Live now; modified today (flock timeout fix, tested)",claire_are/truth_spine.py (see B below - a second unused implementation),fcntl/hashlib/hmac stdlib only,yes,Keep as-is,yes (modified this session)
A,nemotron_adapter.py,Model adapter: NVIDIA NIM remote call + local llama.cpp bridge fallback,Live now,n/a,requests,yes,Keep as-is,yes
A,original_are_bridge.py,Reads/writes the real ARE JSONL memory file (reimplements the record format independently of the true AREStore class),Live now,"Does NOT call the real AREStore (see B: /home/LuciusPrime/original_are.pyiginal_are.py/are.py, outside this repo)",n/a,yes,Keep as-is,yes
A,faiss_are_index.py,FaissAREIndex - vector/embedding search over ARE JSONL records,Live now,n/a,faiss (optional; degrades to deterministic embedding),yes,Keep as-is,yes
A,are_memory_store.py,AREMemoryStore - SQLite-backed alternate memory store,"Defined and imported but NOT instantiated in the live default ClaireRuntime() (memory_store=None in production)",are_memory_store vs original_are_bridge vs claire_are/core.py - three different ARE lineages,sqlite3,yes,"Keep; document clearly that it's dormant by default, not deleted code",yes
A,temporal_engine.py,TemporalEngine - session/turn timing and relative-time resolution,"Live now; added 2026-07-18, wired into every turn",n/a,zoneinfo (stdlib),yes,Keep as-is,yes
A,trace_logger.py,TraceLogger - SQLite+JSONL trace log written once per turn,Live now,n/a,sqlite3,yes,Keep as-is,yes
A,handshake_broker.py,HandshakeBroker - resolves AuthorityCapsule per request,Live now,n/a,n/a,yes,Keep as-is,yes
